; charset=UTF-8
@@	12000	Cuneiform	123FF
@		Signs
1212C	CUNEIFORM SIGN HAL
1212D	CUNEIFORM SIGN HI
1212E	CUNEIFORM SIGN HI TIMES ASH
1212F	CUNEIFORM SIGN HI TIMES ASH2
12130	CUNEIFORM SIGN HI TIMES BAD
12131	CUNEIFORM SIGN HI TIMES DISH
12132	CUNEIFORM SIGN HI TIMES GAD
12133	CUNEIFORM SIGN HI TIMES KIN
12134	CUNEIFORM SIGN HI TIMES NUN
12135	CUNEIFORM SIGN HI TIMES SHE
12136	CUNEIFORM SIGN HI TIMES U
12137	CUNEIFORM SIGN HU
12138	CUNEIFORM SIGN HUB2
12139	CUNEIFORM SIGN HUB2 TIMES AN
1213A	CUNEIFORM SIGN HUB2 TIMES HAL
1213B	CUNEIFORM SIGN HUB2 TIMES KASKAL
1213C	CUNEIFORM SIGN HUB2 TIMES LISH
1213D	CUNEIFORM SIGN HUB2 TIMES UD
1213E	CUNEIFORM SIGN HUL2
1213F	CUNEIFORM SIGN I
12140	CUNEIFORM SIGN I A
12141	CUNEIFORM SIGN IB
12142	CUNEIFORM SIGN IDIM
12143	CUNEIFORM SIGN IDIM OVER IDIM BUR
12144	CUNEIFORM SIGN IDIM OVER IDIM SQUARED
12145	CUNEIFORM SIGN IG
12146	CUNEIFORM SIGN IGI
12147	CUNEIFORM SIGN IGI DIB
12148	CUNEIFORM SIGN IGI RI
12149	CUNEIFORM SIGN IGI OVER IGI SHIR OVER SHIR UD OVER UD
1214A	CUNEIFORM SIGN IGI GUNU
1214B	CUNEIFORM SIGN IL
1214C	CUNEIFORM SIGN IL TIMES GAN2 TENU
1214D	CUNEIFORM SIGN IL2
1214E	CUNEIFORM SIGN IM
1214F	CUNEIFORM SIGN IM TIMES TAK4
12150	CUNEIFORM SIGN IM CROSSING IM
12151	CUNEIFORM SIGN IM OPPOSING IM
12152	CUNEIFORM SIGN IM SQUARED
12153	CUNEIFORM SIGN IMIN
12154	CUNEIFORM SIGN IN
12155	CUNEIFORM SIGN IR
12156	CUNEIFORM SIGN ISH
12157	CUNEIFORM SIGN KA
12158	CUNEIFORM SIGN KA TIMES A
12159	CUNEIFORM SIGN KA TIMES AD
1215A	CUNEIFORM SIGN KA TIMES AD PLUS KU3
1215B	CUNEIFORM SIGN KA TIMES ASH2
1215C	CUNEIFORM SIGN KA TIMES BAD
1215D	CUNEIFORM SIGN KA TIMES BALAG
1215E	CUNEIFORM SIGN KA TIMES BAR
1215F	CUNEIFORM SIGN KA TIMES BI
12160	CUNEIFORM SIGN KA TIMES ERIN2
12161	CUNEIFORM SIGN KA TIMES ESH2
12162	CUNEIFORM SIGN KA TIMES GA
12163	CUNEIFORM SIGN KA TIMES GAL
12164	CUNEIFORM SIGN KA TIMES GAN2 TENU
12165	CUNEIFORM SIGN KA TIMES GAR
12166	CUNEIFORM SIGN KA TIMES GAR PLUS SHA3 PLUS A
12167	CUNEIFORM SIGN KA TIMES GI
12168	CUNEIFORM SIGN KA TIMES GIR2
12169	CUNEIFORM SIGN KA TIMES GISH PLUS SAR
1216A	CUNEIFORM SIGN KA TIMES GISH CROSSING GISH
1216B	CUNEIFORM SIGN KA TIMES GU
1216C	CUNEIFORM SIGN KA TIMES GUR7
1216D	CUNEIFORM SIGN KA TIMES IGI
1216E	CUNEIFORM SIGN KA TIMES IM
1216F	CUNEIFORM SIGN KA TIMES KAK
12170	CUNEIFORM SIGN KA TIMES KI
12171	CUNEIFORM SIGN KA TIMES KID
12172	CUNEIFORM SIGN KA TIMES LI
12173	CUNEIFORM SIGN KA TIMES LU
12174	CUNEIFORM SIGN KA TIMES ME
12175	CUNEIFORM SIGN KA TIMES ME PLUS DU
